iter	Passed	Remaining
496	525	531
497	526	530
498	527	529
499	528	528
500	530	527
501	531	527
502	532	526
503	533	525
504	534	524
505	536	523
506	537	522
507	538	522
508	540	521
509	541	520
510	542	519
511	543	518
512	544	517
513	546	516
514	547	515
515	548	514
516	550	513
517	551	513
518	552	512
519	553	511
520	554	510
521	556	509
522	557	508
523	558	507
524	560	506
525	561	505
526	562	505
527	564	504
528	565	503
529	567	502
530	568	502
531	570	501
532	572	501
533	573	500
534	575	499
535	576	499
536	578	498
537	579	497
538	581	496
539	582	495
540	583	494
541	584	493
542	585	492
543	586	491
544	588	491
545	589	490
546	590	489
547	591	488
548	592	487
549	593	485
550	595	485
551	597	484
552	598	484
553	600	483
554	602	482
555	603	481
556	604	481
557	606	480
558	608	479
559	610	479
560	611	478
561	613	477
562	614	476
563	615	476
564	617	475
565	619	475
566	621	474
567	622	473
568	624	473
569	626	472
570	627	471
571	629	471
572	631	470
573	632	469
574	634	468
575	635	468
576	637	467
577	639	466
578	640	465
579	642	465
580	643	464
581	645	463
582	646	462
583	649	462
584	650	461
585	652	460
586	653	460
587	655	459
588	658	459
589	660	458
590	661	457
591	663	457
592	665	457
593	668	456
594	670	456
595	672	455
596	673	454
597	675	454
598	677	453
599	679	452
600	680	451
601	681	450
602	683	449
603	684	449
604	686	448
605	688	447
606	690	447
607	692	446
608	694	445
609	695	444
610	697	444
611	699	443
612	701	442
613	702	441
614	703	440
615	704	439
616	706	438
617	707	437
618	708	436
619	709	434
620	710	433
621	711	432
622	712	431
623	714	430
624	715	429
625	716	427
626	717	426
627	718	425
628	720	424
629	721	423
630	722	422
631	724	421
632	725	420
633	727	420
634	729	419
635	731	418
636	733	417
637	735	417
638	737	416
639	739	416
640	741	415
641	743	414
642	745	413
643	746	412
644	748	411
645	749	410
646	751	409
647	753	409
648	754	408
649	756	407
650	757	406
651	759	405
652	760	404
653	761	402
654	762	401
655	763	400
656	764	399
657	765	397
658	766	396
659	767	395
660	768	393
661	769	392
662	770	391
663	770	390
664	771	388
665	772	387
666	774	386
667	775	385
668	776	384
669	777	382
670	777	381
671	779	380
672	780	379
673	781	377
674	782	376
675	783	375
676	784	374
677	784	372
678	785	371
679	786	370
680	788	369
681	790	368
682	791	367
683	792	366
684	793	364
685	794	363
686	795	362
687	796	361
688	797	359
689	798	358
690	799	357
691	800	356
692	801	355
693	802	353
694	803	352
695	804	351
696	805	349
697	805	348
698	806	347
699	807	346
700	808	345
701	810	343
702	811	342
703	812	341
704	813	340
705	814	338
706	815	337
707	815	336
708	816	335
709	817	333
710	818	332
711	819	331
712	820	330
713	821	329
714	823	328
715	824	326
716	825	325
717	826	324
718	827	323
719	829	322
720	830	321
721	832	320
722	833	319
723	834	318
724	835	316
725	836	315
726	837	314
727	838	313
728	840	312
729	841	311
730	843	310
731	844	309
732	845	308
733	846	306
734	848	305
735	849	304
736	850	303
737	851	302
738	852	301
739	853	299
740	854	298
741	854	297
742	855	295
743	856	294
744	857	293
745	858	292
746	859	291
747	860	289
748	861	288
749	862	287
750	863	286
751	864	285
752	865	283
753	866	282
754	867	281
755	869	280
756	870	279
757	871	278
758	872	277
759	873	275
760	874	274
761	875	273
762	875	272
763	876	270
764	877	269
765	878	268
766	880	267
767	881	266
768	882	265
769	884	264
770	885	263
771	886	261
772	888	260
773	890	259
774	891	258
775	892	257
776	894	256
777	895	255
778	896	254
779	897	253
780	899	252
781	900	251
782	902	250
783	903	248
784	904	247
785	905	246
786	907	245
787	908	244
788	909	243
789	910	242
790	911	240
791	912	239
792	913	238
793	914	237
794	915	235
795	915	234
796	916	233
797	917	232
798	918	231
799	919	229
800	920	228
801	921	227
802	922	226
803	923	225
804	923	223
805	924	222
806	925	221
807	926	220
808	926	218
809	927	217
810	928	216
811	929	215
812	930	214
813	931	212
814	932	211
815	932	210
816	933	209
817	934	207
818	935	206
819	936	205
820	936	204
821	937	203
822	938	201
823	940	200
824	941	199
825	942	198
826	943	197
827	944	196
828	944	194
829	945	193
830	946	192
831	947	191
832	948	190
833	949	188
834	950	187
835	951	186
836	952	185
837	952	184
838	953	183
839	954	181
840	955	180
841	955	179
842	956	178
843	957	176
844	958	175
845	959	174
846	960	173
847	961	172
848	962	171
849	963	169
850	963	168
851	964	167
852	965	166
853	966	165
854	967	164
855	968	162
856	968	161
857	970	160
858	971	159
859	972	158
860	973	157
861	974	155
862	975	154
863	975	153
864	976	152
865	977	151
866	978	150
867	979	148
868	980	147
869	981	146
870	982	145
871	983	144
872	984	143
873	985	142
874	986	140
875	987	139
876	988	138
877	989	137
878	991	136
879	992	135
880	993	134
881	994	133
882	996	131
883	997	130
884	998	129
885	999	128
886	1001	127
887	1002	126
888	1004	125
889	1005	124
890	1006	123
891	1008	122
892	1009	120
893	1011	119
894	1012	118
895	1013	117
896	1014	116
897	1015	115
898	1016	114
899	1017	113
900	1018	111
901	1019	110
902	1020	109
903	1021	108
904	1022	107
905	1023	106
906	1024	105
907	1025	103
908	1026	102
909	1027	101
910	1028	100
911	1029	99
912	1030	98
913	1031	97
914	1032	95
915	1034	94
916	1035	93
917	1036	92
918	1036	91
919	1037	90
920	1038	89
921	1039	87
922	1040	86
923	1041	85
924	1042	84
925	1043	83
926	1044	82
927	1045	81
928	1046	79
929	1047	78
930	1048	77
931	1049	76
932	1050	75
933	1052	74
934	1053	73
935	1054	72
936	1055	70
937	1057	69
938	1058	68
939	1059	67
940	1060	66
941	1061	65
942	1063	64
943	1064	63
944	1065	62
945	1067	60
946	1068	59
947	1069	58
948	1070	57
949	1071	56
950	1073	55
951	1073	54
952	1074	53
953	1075	51
954	1076	50
955	1077	49
956	1077	48
957	1078	47
958	1079	46
959	1080	45
960	1081	43
961	1082	42
962	1083	41
963	1084	40
964	1085	39
965	1085	38
966	1087	37
967	1088	35
968	1089	34
969	1090	33
970	1092	32
971	1093	31
972	1094	30
973	1096	29
974	1097	28
975	1098	27
976	1100	25
977	1101	24
978	1103	23
979	1105	22
980	1106	21
981	1108	20
982	1110	19
983	1112	18
984	1114	16
985	1115	15
986	1117	14
987	1119	13
988	1120	12
989	1123	11
990	1125	10
991	1127	9
992	1128	7
993	1130	6
994	1132	5
995	1134	4
996	1136	3
997	1138	2
998	1139	1
999	1140	0
